Formula,PG,First,SG1,Second,SG2
HBr,mmm,H,P63/mmc,Br,Cmca
H2C,mmm,H,P63/mmc,C,P63/mmc
H4C,-43m,H,P63/mmc,C,P63/mmc
HC,2/m,H,P63/mmc,C,P63/mmc
HCl,m-3m,H,P63/mmc,Cl,Cmca
HN,mmm,H,P63/mmc,N,P63/mmc
H3N,23,H,P63/mmc,N,P63/mmc
H3N,222,H,P63/mmc,N,P63/mmc
H3N,23,H,P63/mmc,N,P63/mmc
H2O,mm2,H,P63/mmc,O,C12/m1
H3Pb,m-3m,H,P63/mmc,Pb,Fm-3m
HPd,m-3m,H,P63/mmc,Pd,Fm-3m
HRh,m-3m,H,P63/mmc,Rh,Fm-3m
H2S,m-3m,H,P63/mmc,S,Fddd
H2Se,m-3m,H,P63/mmc,Se,P121/c1
HW,6/mmm,H,P63/mmc,W,Im-3m
Li3Ac,4/mmm,Li,Im-3m,Ac,Fm-3m
LiAg,m-3m,Li,Im-3m,Ag,Fm-3m
Li3Ag,m-3m,Li,Im-3m,Ag,Fm-3m
LiAg3,4/mmm,Li,Im-3m,Ag,Fm-3m
Li3Ag,4/mmm,Li,Im-3m,Ag,Fm-3m
LiAg,4/mmm,Li,Im-3m,Ag,Fm-3m
Li3Ag,6/mmm,Li,Im-3m,Ag,Fm-3m
Li3Al2,-3m,Li,Im-3m,Al,Fm-3m
LiAl3,m-3m,Li,Im-3m,Al,Fm-3m
LiAl,m-3m,Li,Im-3m,Al,Fm-3m
Li9Al4,2/m,Li,Im-3m,Al,Fm-3m
LiAl3,4/mmm,Li,Im-3m,Al,Fm-3m
Li3Al,4/mmm,Li,Im-3m,Al,Fm-3m
Li3As,6/mmm,Li,Im-3m,As,R-3m
LiAu3,m-3m,Li,Im-3m,Au,Fm-3m
Li15Au4,-43m,Li,Im-3m,Au,Fm-3m
Li3Au,m-3m,Li,Im-3m,Au,Fm-3m
LiAu3,4/mmm,Li,Im-3m,Au,Fm-3m
LiB,6/mmm,Li,Im-3m,B,R-3m
LiB,mmm,Li,Im-3m,B,R-3m
LiB,m-3m,Li,Im-3m,B,R-3m
LiBe,2/m,Li,Im-3m,Be,P63/mmc
Li3Be,4/mmm,Li,Im-3m,Be,P63/mmc
Li3Bi,m-3m,Li,Im-3m,Bi,C12/m1
LiBr,6mm,Li,Im-3m,Br,Cmca
LiBr,m-3m,Li,Im-3m,Br,Cmca
LiC12,6/mmm,Li,Im-3m,C,P63/mmc
LiC6,6/mmm,Li,Im-3m,C,P63/mmc
LiC,mmm,Li,Im-3m,C,P63/mmc
Li3C,m-3m,Li,Im-3m,C,P63/mmc
Li2Ca,6/mmm,Li,Im-3m,Ca,Fm-3m
Li2Ca,m-3m,Li,Im-3m,Ca,Fm-3m
Li3Ca,4/mmm,Li,Im-3m,Ca,Fm-3m
LiCa3,4/mmm,Li,Im-3m,Ca,Fm-3m
Li3Cd,m-3m,Li,Im-3m,Cd,P63/mmc
LiCd,m-3m,Li,Im-3m,Cd,P63/mmc
LiCd3,m-3m,Li,Im-3m,Cd,P63/mmc
Li3Cd,4/mmm,Li,Im-3m,Cd,P63/mmc
LiCl,m-3m,Li,Im-3m,Cl,Cmca
Li3Co,4/mmm,Li,Im-3m,Co,P63/mmc
